"gene_name","Condition","Drug","Time","logFC","adj.P.Val"
"EIF2AK3-DT","PI5Z_8h","PI5Z","8h",1.28029136028888,0.0133552355517054
"EIF2B3","PI5Z_8h","PI5Z","8h",-1.10930446721959,1.75941470231216e-12
"EIF2S1","PI5Z_8h","PI5Z","8h",-1.04749677046217,3.97849465455394e-18
"EIF2S2P3","PI5Z_8h","PI5Z","8h",-1.16346896624861,8.49844603444211e-05
"EIF2S2P3","PI5Z_24h","PI5Z","24h",-1.24442434757145,1.10341447011676e-06
"EIF2S2P4","PI5Z_24h","PI5Z","24h",-1.3394224721701,3.62705285932899e-08
"EIF3J","PI5Z_8h","PI5Z","8h",-1.0079494469757,9.97146990284179e-16
"ELOVL6","PI5Z_8h","PI5Z","8h",-1.57165101967428,6.85954583798643e-17
"EMBP1","PI5Z_24h","PI5Z","24h",-1.07244835309465,0.00111200397248817
"ENPP1","PI5Z_24h","PI5Z","24h",1.02213198645361,0.00963362398741911
"ENTPD1-AS1","PI5Z_8h","PI5Z","8h",-1.01544943390852,2.05282318798441e-13
"EPHA10","PI5Z_24h","PI5Z","24h",1.19053988021621,2.08003450418165e-08
"EPOR","PI5Z_24h","PI5Z","24h",1.02112770612119,2.88571806064456e-08
"EPRS1","PI5Z_24h","PI5Z","24h",-1.1291431832669,1.10598739906124e-07
"ERG28","PI5Z_24h","PI5Z","24h",1.3391677762282,3.71369725189506e-13
"ERICH2","PI5Z_24h","PI5Z","24h",-1.85375613641786,2.71224834556144e-06
"ERMAP","PI5Z_8h","PI5Z","8h",1.29813128696568,3.25977506963692e-12
"ERP27","PI5Z_24h","PI5Z","24h",1.55856126870617,1.12139287766672e-07
"ERVH-1","PI5Z_8h","PI5Z","8h",1.16108201446698,5.24648288757176e-09
"ETFBKMT","PI5Z_8h","PI5Z","8h",1.44483445533601,0.0179132464838959
"ETNK2","PI5Z_24h","PI5Z","24h",1.50273826877599,6.90229118280251e-08
"EVA1C","PI5Z_24h","PI5Z","24h",1.1211952292007,1.80076573072135e-18
"EXO1","PI5Z_8h","PI5Z","8h",-1.19091785246251,1.87519382799456e-12
"EXOSC4","PI5Z_4h","PI5Z","4h",-1.49187573672071,2.26827122383159e-16
"F8","PI5Z_8h","PI5Z","8h",1.06434178323402,0.000360783664161413
"FAAH2","PI5Z_8h","PI5Z","8h",1.29328923559286,1.05316643453774e-06
"FAM111A-DT","PI5Z_4h","PI5Z","4h",1.17741157587047,4.16083128213006e-08
"FAM111A-DT","PI5Z_8h","PI5Z","8h",1.1953800119686,4.7422714778637e-09
"FAM117A","PI5Z_8h","PI5Z","8h",1.11002891036078,5.86723303281899e-11
"FAM157A","PI5Z_24h","PI5Z","24h",2.32748487246078,0.0152267769806972
"FAM171A2","PI5Z_24h","PI5Z","24h",1.20051205548305,3.13934429301806e-06
